charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Blood orange by Dry Soda Co.
# Portion 100 g
Nutrient, Amount, Unit, DV
"Calories", 14.00, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 0.00, G, 0%
"Carbohydrate", 3.94, G, 1%
"Sugars", 3.94, G, 
"Sodium, Na", 0.00, MG, 0%
"Net carbs", 3.94, g, 
# Downloaded from https://www.nutritionvalue.org 
